sudo dtruss -a ./test_pipe 512k  
	PID/THRD  RELATIVE  ELAPSD    CPU SYSCALL(args) 		 = return
 1762/0x8c5c:       858     276    275 ioctl(0x3, 0x80086804, 0x16F96DB28)		 = 0 0
 1762/0x8c5c:       860       2      1 close(0x3)		 = 0 0
 1762/0x8c5c:       985       9      9 open("/Users/cole/Desktop/school/UWM_Fall_2025/warmup-2/test_pipe\0", 0x0, 0x0)		 = 3 0
 1762/0x8c5c:       987       2      1 __mac_syscall(0x18A245ACF, 0x2, 0x16F96D230)		 = 0 0
 1762/0x8c5c:       996       8      7 map_with_linking_np(0x16F96CF60, 0x1, 0x16F96CF90)		 = 0 0
 1762/0x8c5c:       997       0      0 close(0x3)		 = 0 0
 1762/0x8c5c:       998       1      0 mprotect(0x100494000, 0x4000, 0x1)		 = 0 0
 1762/0x8c5c:      1020       1      0 shared_region_check_np(0xFFFFFFFFFFFFFFFF, 0x0, 0x0)		 = 0 0
 1762/0x8c5c:      1022       2      1 mprotect(0x1008A4000, 0x40000, 0x1)		 = 0 0
 1762/0x8c5c:      1034       3      1 access("/AppleInternal/XBS/.isChrooted\0", 0x0, 0x0)		 = -1 Err#2
 1762/0x8c5c:      1045       2      1 bsdthread_register(0x18A548D2C, 0x18A548D20, 0x4000)		 = 1073746399 0
 1762/0x8c5c:      1073       1      0 getpid(0x0, 0x0, 0x0)		 = 1762 0
 1762/0x8c5c:      1077       3      2 shm_open(0x18A3E3F51, 0x0, 0xFFFFFFFF8A506C90)		 = 3 0
 1762/0x8c5c:      1078       1      0 fstat64(0x3, 0x16F96DEC0, 0x0)		 = 0 0
 1762/0x8c5c:      1081       3      2 mmap(0x0, 0x4000, 0x1, 0x40001, 0x3, 0x0)		 = 0x1008F0000 0
 1762/0x8c5c:      1082       0      0 close(0x3)		 = 0 0
 1762/0x8c5c:      1092       1      0 ioctl(0x2, 0x4004667A, 0x16F96DF6C)		 = 0 0
 1762/0x8c5c:      1096       1      0 mprotect(0x1008FC000, 0x4000, 0x0)		 = 0 0
 1762/0x8c5c:      1097       1      0 mprotect(0x100908000, 0x4000, 0x0)		 = 0 0
 1762/0x8c5c:      1100       0      0 mprotect(0x10090C000, 0x4000, 0x0)		 = 0 0
 1762/0x8c5c:      1100       0      0 mprotect(0x100918000, 0x4000, 0x0)		 = 0 0
 1762/0x8c5c:      1103       0      0 mprotect(0x10091C000, 0x4000, 0x0)		 = 0 0
 1762/0x8c5c:      1104       0      0 mprotect(0x100928000, 0x4000, 0x0)		 = 0 0
 1762/0x8c5c:      1108       1      0 mprotect(0x1008F4000, 0xA0, 0x1)		 = 0 0
 1762/0x8c5c:      1109       1      0 mprotect(0x1008F4000, 0xA0, 0x3)		 = 0 0
 1762/0x8c5c:      1111       1      0 mprotect(0x1008F4000, 0xA0, 0x1)		 = 0 0
 1762/0x8c5c:      1113       0      0 mprotect(0x10092C000, 0x4000, 0x1)		 = 0 0
 1762/0x8c5c:      1116       1      0 mprotect(0x100930000, 0xA0, 0x1)		 = 0 0
 1762/0x8c5c:      1120       1      0 mprotect(0x100930000, 0xA0, 0x3)		 = 0 0
 1762/0x8c5c:      1122       1      0 mprotect(0x100930000, 0xA0, 0x1)		 = 0 0
 1762/0x8c5c:      1123       1      0 mprotect(0x1008F4000, 0xA0, 0x3)		 = 0 0
 1762/0x8c5c:      1124       1      0 mprotect(0x1008F4000, 0xA0, 0x1)		 = 0 0
 1762/0x8c5c:      1125       1      0 mprotect(0x10092C000, 0x4000, 0x3)		 = 0 0
 1762/0x8c5c:      1126       0      0 mprotect(0x10092C000, 0x4000, 0x1)		 = 0 0
 1762/0x8c5c:      1128       1      0 mprotect(0x1008A4000, 0x40000, 0x3)		 = 0 0
 1762/0x8c5c:      1130       1      0 mprotect(0x1008A4000, 0x40000, 0x1)		 = 0 0
 1762/0x8c5c:      1137       1      0 objc_bp_assist_cfg_np(0x18A175000, 0x80000018001C1048, 0x0)		 = -1 Err#5
 1762/0x8c5c:      1139       1      0 issetugid(0x0, 0x0, 0x0)		 = 0 0
 1762/0x8c5c:      1154       1      0 mprotect(0x1008A4000, 0x40000, 0x3)		 = 0 0
 1762/0x8c5c:      1190      11     10 getentropy(0x16F96D5D8, 0x20, 0x0)		 = 0 0
 1762/0x8c5c:      1217       1      0 mprotect(0x1008A4000, 0x40000, 0x1)		 = 0 0
 1762/0x8c5c:      1231       1      0 mprotect(0x1008A4000, 0x40000, 0x3)		 = 0 0
 1762/0x8c5c:      1233       1      0 mprotect(0x1008A4000, 0x40000, 0x1)		 = 0 0
 1762/0x8c5c:      1238       5      4 getattrlist("/Users/cole/Desktop/school/UWM_Fall_2025/warmup-2/test_pipe\0", 0x16F96DE50, 0x16F96DE68)		 = 0 0
 1762/0x8c5c:      1247       7      7 access("/Users/cole/Desktop/school/UWM_Fall_2025/warmup-2\0", 0x4, 0x0)		 = 0 0
 1762/0x8c5c:      1253       6      6 open("/Users/cole/Desktop/school/UWM_Fall_2025/warmup-2\0", 0x0, 0x0)		 = 3 0
 1762/0x8c5c:      1254       1      0 fstat64(0x3, 0x157E04430, 0x0)		 = 0 0
 1762/0x8c5c:      1255       0      0 csrctl(0x0, 0x16F96E07C, 0x4)		 = -1 Err#1
 1762/0x8c5c:      1258       4      2 fgetattrlist(0x3, 0x16F96E120, 0x16F96E0A0)		 = 0 0
